,titles,category
0, 명품백이 대통령 기록물  그러면 명품관은 박물관인가  경악한 김웅,Politics
1,이준석  한동훈 우세승인데   도 인사만 기억남아 ,Politics
2,  최선희 손에  수상한 서류    푸틴  인류 역사상 초유의 도박하나   녹취록 ,Politics
3,김웅  윤 한 갈등은  다 진 게임  김건희 여사 출국도 해법 ,Politics
4,   이번엔 순항미사일 도발 핵탄두 탑재시 최대 살상고도 찾나,Politics
5, 김건희 명품백  더 말 안 한단 한동훈  해결된 게 없다,Politics
6, 충분히 말씀드렸다  입 다문 한동훈 민주  정치쇼 말고 특검 ,Politics
7,한동훈   김 여사  언급 안 해  충분히 말씀드렸다 ,Politics
8, 속보 이재명   윤석열 한동훈 절규하는 피해 국민 앞에서 일종의 정치쇼 ,Politics
9,새미래  미래연합에    일 광주부터는 창당대회 함께하길 ,Politics
10,이준석  양향자 한국의희망과 개혁신당 사실상 합당 선언 ,Politics
11, 이언주에 복당 권유한 이재명  실익은  ,Politics
12,한동훈  사퇴 방어로  홀로서기  일부 성과 갈등 불씨 남아,Politics
13,김정은  대사변 준비  이후  도발수위 계속 높이는 북한,Politics
14,당적 밥먹듯 바꾼 이언주  민주당 복당땐   번째 ,Politics
15,정동영  민주당 탈당파 호남 상륙 안돼 민주벨트 형성해 대응 ,Politics
16,김웅  김건희 불쌍하게 보이는 방법밖엔 사저나 외국 나가야 ,Politics
17, 친윤  이용에 불쾌감 표한   이상민  그분이   대변하나  직책도 없어 ,Politics
18,윤 한 저격 민주당  본질은 김 여사 죗값 치르는 것  정치쇼 변명 안 돼 ,Politics
19,한동훈  김 여사 질문에  제 생각 충분히 말씀드렸다 ,Politics
20, 김미경의 정치네컷  한동훈의  폴더인사   윤석열의  어깨 툭  극적화해  약속대련 ,Politics
21, 뉴스포커스  화재현장 동행한 윤대통령 한동훈 갈등 불씨는 여전,Politics
22,대만 야당  판도 변화  입지 좁아진 국민당    기선잡은 민중당,Politics
23,김건희 문제 입장 밝혀야      기자회견 열어야    ,Politics
24,김경율 사퇴가 출구전략  한동훈  그런 말 들은 바 없다 ,Politics
25,이준석  나는 정공법 썼지만   한동훈은 어설픈 봉합 ,Politics
26,국민의힘 전현직 국회의원 의정부갑 출사표 종합 ,Politics
27,불출마 김웅  김 여사  사저 가거나 해외로 나가라 ,Politics
28,이재명  윤 한  서천 봉합 에  그곳에서 정치쇼  역사에 남을 것 ,Politics
29,국힘 혼란할 때면 두더지처럼 쑥쑥 튀어나와 분란 부채질하는 사람들  기자  시 ,Politics
30,응답자      김건희 여사  명품 가방  논란  대통령이 직접 입장 밝혀야 ,Politics
31,윤석열 향한 한동훈의   도 인사 갈등 봉합  돌고 돌아 민주당 가는 이언주,Politics
32, 뉴스라이브  조응천  수박 나가니 이젠 멜론 압박 ,Politics
33,   예비군 동원훈련  년  년 보상비   만원 주겠다 ,Politics
34,윤석열    한동훈  지금은 예고편에 불과 본편은 공천 싸움 ,Politics
35,민주 총선  공약 발표  사병 휴대전화 요금 할인비율    로 ,Politics
36,용산 자극 피하려  한동훈  김건희 김경율 관련 입장 묻자  침묵 ,Politics
37,     당직비 인상 사병 전화요금 절반 할인 동원훈련 단축 ,Politics
38,     절반의 화해   김여사 김경율 민심  불씨 남아,Politics
39,이재명  대통령  절규하는 피해 국민 배경으로 정치쇼 ,Politics
40,유권자         김건희 문제에 입장 밝혀야   엠브레인퍼블릭 ,Politics
41, 뉴스       한동훈  총선 승리 다짐  함께 가면 길이 됩니다 ,Politics
42,김무성  김건희 직접 나설 필요 없다 김경율 사퇴해야 ,Politics
43,이상민  김경율  지금 그만두면 입 틀어막는 것 당에도 역효과 ,Politics
44,윤석열 입은 점퍼  한동훈과 특검 때 함께 입던 옷    녹취록 ,Politics
45,이인제   이재명   우리 북한  작심하고 한 말 ,Politics
46,이준석  한동훈  삼일천하 도 안돼 어설픈 봉합으로 진퇴양난 ,Politics
47,시민      윤 대통령  김건희 관련 입장표명해야 ,Politics
48,  대변인   윤 한 갈등  없었다 의사소통의 일시적 교란 정도 ,Politics
49,대통령실  김경율  말 안하고 한동훈  김 여사  답변     ,Politics
50, 폴더인사  챙기고  상인 분노  남긴 현장 방문 영상 ,Politics
51,추미애     임종석 노영민에  정치적 양심 실종 ,Politics
52,합참  북한  서해 일대에서 순항미사일 여러 발 발사  종합 ,Politics
53,이준석 허은아  윤 한 어설픈 봉합  역시나 약속대련 ,Politics
54, 노무현과 윤석열의  거부권   근본이 다르다 ,Politics
55,  공관위원장      갈등봉합에  굿뉴스  김경율 전략공천 가능성도,Politics
56,합참     서해 일대에서 순항미사일 여러 발 발사  화살    형에 무게,Politics
57,금태섭     한동훈 비판 전 본인들부터  유권자 공감 얻기 어려워 ,Politics
58,   서해 일대에서 순항미사일 수발 쏴       추가 징후 주시   종합 ,Politics
59,김웅  김 여사  사저 가거나 외국 나가는 정도 방법 취해야 ,Politics
60,미래 권력에 줄 서나   친윤 의 침묵,Politics
61,   해일 시험 닷새 만에 순항미사일 쏴 올해  번째 도발 일지 ,Politics
62, 반윤 이면  반문 도 좋다 민주당 계파갈등 자극하는 이언주 복당 논란,Politics
63,   이번엔 순항미사일 도발  서해 일대서 여러 발 발사 ,Politics
64,중대재해법        유예 마지막까지 최선        산안청 수용해야 ,Politics
65,이재명  절규하는 국민 앞에서 정치쇼  야   윤 한 화해  이틀째 맹폭,Politics
66,이재명  재난현장 배경으로 정치쇼 역사에 남을 사건 ,Politics
67,   이번엔 서해상으로 순항미사일 발사     추가활동 주시 중  종합 ,Politics
68,      년부터 풍계리 핵실험장 건설 추정  비밀 해제  위성사진 공개,Politics
69,원희룡   김건희 명품백 논란   국민 납득할 수 있게 풀긴 풀어야 ,Politics
70, 그냥 가면 뭐하러 오신 거야  상인들 분노    정치쇼 이용 ,Politics
71,민주  윤 한  화재 현장서  갈등 봉합쇼  재난을 장식품으로 활용 ,Politics
72,김웅  김건희 명품백  해결책은 과거       복기 납작 엎드려야 ,Politics
73,김경율  사퇴 의사 없다 김 여사 명품백 입장은 밝혀야 ,Politics
74,부산  개 지역구 전략공천  원외 정치신인들 전전긍긍,Politics
75,    갈등은 봉합     김건희 리스크 는 여전  우려,Politics
76, 전격시사  김근식    한동훈  서둘러 봉합 한동훈 판정승   김준일    한동훈  윈 윈 아닌 루즈 루즈 게임 ,Politics
77,   해외 나가야  주장까지 국민의힘   김건희 리스크  여진,Politics
78, 연합뉴스 이 시각 헤드라인         ,Politics
79,    에르메스백 과  김건희 디올백  이 다른 이유,Politics
80,김남국  햄버거집서 소개팅 비싸서 하나 나눠먹었다 ,Politics
81,국민의힘 공관위  전략공천   곳까지     주호영 감점 제외  등 이의신청은 결론 못 내,Politics
82, 다 진 게임 김건희 여사  사저나 외국 나가야 국면 전환 ,Politics
83,이재명  서천시장 봉합쇼  수해 현장서 사진 타령하던 장면 떠올라 ,Politics
84, 의전이냐   배짱 부족    향한    폴더 인사  비판하는 정치권,Politics
85, 속보  합참  북한  서해로 순항미사일 여러 발 발사 ,Politics
86,속도 붙는 제  지대 빅텐트 이준석 양향자 먼저,Politics
87,봉합열차 탄     명품백 사천 논란  갈등 불씨  여전  이런정치 ,Politics
88,한동훈  김 여사 질문에  이미 충분히 말해    김경률 사퇴  들은 바 없어 ,Politics
89, 정치쇼  박성태 이재명      봉합  디올백 김경율 용핵관 공천 문제 남았다 ,Politics
90, 김경율 사퇴로 출구  김여사는   쏟아진 질문에 말 아낀 한동훈  현장영상 ,Politics
91,한동훈   김여사 관련 입장 바뀌었나  질문에  제 생각 충분히 말씀드렸다 ,Politics
92,대통령의  인신공격  화법  증오 키운다,Politics
93, 열차 같이 탑시다    제안에 한동훈이 보인 반응   녹취록 ,Politics
94, 김 여사 가방 수수  국민      대통령이 입장 밝혀야 ,Politics
95, 전격시사  김무성  이준석 제 신당과 같이 할 생각 전혀 없어 ,Politics
96, 일타 박성민   윤 한 충돌 왜  이 졌는가  ,Politics
97,원희룡  명품백 논란    선동 끌려갈 이유 없지만 풀긴 풀어야 ,Politics
98, 속보  합참  북  서해상으로 순항미사일 여러 발 발사 ,Politics
99, 김건희 리스크 에 침묵하는 한동훈  더 말씀드리지 않겠다 ,Politics
100, 이번 주 안에 결론 내야  제 지대 민주 계열 선통합 가능성,Politics
101,김웅  김건희 여사  사저로 가든지 외국에 나가 있든지 해야 ,Politics
102,한동훈   김경율 사퇴설 에  그런 얘기 들은 바 없다 ,Politics
103, 김건희 리스크  해법 분분  대통령 입장 내야      사과 무의미 ,Politics
104,김무성  김건희  사과문 내고 대통령이 유감의 뜻 표해야 ,Politics
105,윤  같이 타자  한  자리 있습니까  열차 동승해 서울로,Politics
106, 전격시사  금태섭    한동훈 갈등  정당 제도의 근간 무너뜨려 ,Politics
107,이언주  민주당으로 다시 복당   이재명이 제안했다    녹취록 ,Politics
108, 정치쇼  박주민    당무개입 법적 문제 세밀 검토할 것 ,Politics
109, 비명  잡겠다는 친명 비례들  왜 집안싸움 일으키나 ,Politics
110,박지원       빽전쟁  봉합되지 않아 언 발에 오줌 누기 ,Politics
111,한동훈  김경률 사퇴설에  들은 바 없다 김건희는 더 말 안해 ,Politics
112,김건희 향해  황후마마냐     이언주  민주당 복당 고심,Politics
113, 정치쇼  논란 서천시장 이준석     화재 구경갔나   피해상인 안 만나 ,Politics
114,지난해 경쟁률의  배 북한 도발하자 해병대 지원자 뛰었다,Politics
115,한동훈  내가 해온 것들은 민생 좋게 만들기 위함  도 마찬가지 ,Politics
116,이상민  김경율  지금 그만두면 입 틀어막는 것밖에 안 돼 ,Politics
117, 정치쇼  신평      만난다고 갈등 해소 안돼   한계 보완할 인물 많다 ,Politics
118, 많이 해 먹었는데 왜 또 나온다  비판에 김무성  후배들 못해서 ,Politics
119, 자막뉴스  결국 선 넘은 집안싸움  혼돈의 민주당  위험 예고 ,Politics
120, 영상   과 전용열차 함께 탄 한동훈    여권 분열  봉합 국면에 들어섰다,Politics
121, 월간중앙  직격 인터뷰    노동 교육 연금개혁에서 청년층에 어필 보수 본진   에서도   확보 가능 ,Politics
122,허은아   지대 합당 불발 안될 것 마음 바뀐 국민의힘 현역 많아 ,Politics
123,추미애  석고대죄 해야할 임종석 노영민 출마  정치적 양심 실종 ,Politics
124,김웅  윤 한 둘 다 졌다 김건희 외국행도 해법 ,Politics
125,금태섭  민주당  한동훈   아바타  비판  이재명 아바타  현실을 스스로 돌아보라 ,Politics
126,진중권  김건희 쓴소리한 김경율 내치면 한동훈 비대위 실패 ,Politics
127,여 전략공천 우선추천 가능 지역 마포갑을  계양을 분당을 등,Politics
128,김한정   비명  꼬리표에  차라리 김대중계라 불러달라 ,Politics
129,서천 상인 목소리 외면한    대통령실  현장서 직접 피해 상인들 위로 ,Politics
130,박지원  김건희 사과해도 특검 박근혜도 사과했지만 탄핵 ,Politics
131, 디올백   여당을 뒤흔들다   김여사 논란      보도,Politics
132,신평  한동훈  김건희 명품백  언급에 중도 확장력 없어 무리한 발언 ,Politics
133,  영상  천하람     한동훈에게 공간 열어줄 생각 없다 ,Politics
134,해군      북극발 한파 뚫고 훈련  훈련  훈련  적진 침투 임무 완수할 것 ,Politics
135,   조국통일  대헌장 기념탑  허물었다 김정은 지시 빠르게 이행 종합 ,Politics
136, 대변인  윤 한 갈등  잠깐 소통 교란 명품백 공작 맞지만  설명은 필요 ,Politics
137,김경율  사퇴할 뜻 없다 김 여사  명품백 입장 밝혀야 ,Politics
138,윤석열  과잉 경호  이재명  특혜 이송  논란 이렇게 대처했더라면  어떻게 생각하십니까 ,Politics
139, 지지율     에서 대량 탈당 사태까지 황혼기의  원내 당  정의당,Politics
140,진중권  김경율 내치면 한동훈 비대위 실패  말짱 도루묵 ,Politics
141,  한동훈 회동  정작 화재 상인들은 안만나  민주  재난 앞 비정한 대통령  비판,Politics
142,전용열차 동승에도 민감한 얘기 안 꺼내 김경율 거취 등  불씨  여전,Politics
143,한동훈  폴더 인사  대통령  어깨 툭 뉴스쏙 속 ,Politics
144,김경율  사퇴 생각 없다 김건희 여사가 명품백 입장 밝혀야 ,Politics
145, 영상 김영배  대통령실 한동훈 갈등  짜고치는 고스톱  신율의 이슈메이커 ,Politics
146,연안 항만 방어 최강  유도탄고속함  빠른 기동성 유도무기 탑재로 대형구축함도 격침 이현호 기자의 밀리터리 톡 ,Politics
147, 윤 한 충돌  약속대련이 아닌 이유 서초동 아닌  여의도 속성 ,Politics
148,이용호  당원이라면 누구든지 비대위원장 거취 얘기할 수 있어 ,Politics
149,이용호  사퇴 요구가 당무개입  대통령도 당원이라 의견 제시 가능 ,Politics
150, 김건희 여사 사과 필요없고 수사받아야  박용진 직격,Politics
151,공지영  이준석 예뻐보여  한동훈 국힘이지만 맞는 말  하태경  용기있는 고백 ,Politics
152, 친명  양이원영  비명 양기대에 도전장 민주  자객 출마  논란 지속,Politics
153,서천 상인 목소리는 외면      현장서 직접 피해 상인들과 대화 ,Politics
154, 같이 가자   자리 있나요      갈등 사흘만에 봉합 분위기,Politics
155, 단독  김건희  당이 사과 결정하면 따를 것  의사전달    공세  우려에 결론 못내,Politics
156,국민의힘   연패한 지역  전략공천 가능  서울 마포을 인천 계양을 해당,Politics
157,이원욱  제 지대 통합 위해 당명 대표 공천까지도 양보 가능  한판승부 ,Politics
158,배종찬  윤 한 갈등에서 한동훈 버틴 이유  높은 지지율 덕  한판승부 ,Politics
159,이준석  한동훈   차전 약속대련서 우세승    차전 있을 것  예측,Politics
160, 에 무심하던    김정은 위협에 주목 전선확대 우려하는듯,Politics
161,김경율  사퇴할 뜻 없다 김건희 명품백 입장 밝혀야 ,Politics
162,명품백 대응 김경율 거취 윤 대통령 한동훈  뇌관  그대로,Politics
163,인구절벽에 병역제도 바꾼다   예비역 병장도 하사로 임명 ,Politics
164,신평  한동훈에 충고  현재 권력 이길 생각 버려라  그건 망상 ,Politics
165,이용호  김건희 사과 불필요  이슈 자체가 소진된 상황  한판승부 ,Politics
166,한동훈  이재명에 쏠렸던 관심 찾아왔다 검색량 폭발  신현보의 딥데이터 ,Politics
167,명품 가방 수수  김건희가 아니라 김정숙이었다면   김은지의 뉴스   ,Politics
168, 명품 가방 반환하면 국고 횡령   사과 아닌 수사 대상 ,Politics
169,   전용 열차 같이 타자   한동훈  자리 있습니까 ,Politics
170,진중권      갈등  김경율 거취로 판가름 김경율 계속 가는 게 대통령한테도 나쁘지 않아 ,Politics
171, 마이웨이  김경율  사퇴 안 해 김 여사  입장 밝혀야 ,Politics
172,충돌 이틀 만에 전격 회동 서둘러 봉합 나선 속내는,Politics
173, 김경율 사퇴 도 미봉책  불씨 여전,Politics
174,     갈등 일단 봉합  김경율 사퇴  가능성은 ,Politics
175,손 맞잡은   한동훈  암 투병  전여옥 울컥  두 분에 이 나라  운명  걸려 ,Politics
176,     직접 대화로 갈등  조기 진화   민생현장서 소통 시작 기회 마련 ,Politics
177,    회 연속 패배 지역은  전략공천 ,Politics
178,박영선   장관  반도체  국가간 리그의 핵심    클러스터  반드시 해야 할 일   세상을 보는 창 ,Politics
179,민주  총선 예비후보 간 신경전에 자제령 계파전 양상에 경고,Politics
180,  인 비서국  꽉꽉 채운     핵심 리병철 해임 등  회전문 인사 는 여전,Politics
181, 단독  도발에  목숨 걸고 나라 지킨다  한때 미달 해병대 지원   대   급증,Politics
182,상인들  불구경 왔냐  항의 대통령실  상인 모두 박수 ,Politics
183,민주  아무리      브로맨스 화해쇼  급했다지만  ,Politics
184, 에선 미사일 받고  에는  관계 회복    알쏭달쏭  러시아 속내,Politics
185,   공무원이 떠난 빈자리    대  잘파 희망 이 채운다,Politics
186, 지대  이낙연 광주 출마 압박  정작 텃밭인 호남 민심은 싸늘,Politics
187,이낙연 신당 미래대연합 주내 통합 마무리,Politics
188, 책임론 부상  김경율 물러날까,Politics
189,마포갑 을  계양을  해운대갑    최대   개 지역 전략공천,Politics
190, 윤 한 충돌  봉합 시도하지만 김건희 리스크 불씨는 그대로,Politics
191,   열차 함께 타자     자리 있습니까 ,Politics
192,   김건희 리스크  엇갈린 해법   몰카 정치공작   입장 표명해야 ,Politics
193,   한파 속   분 기다린 한동훈 어깨 치며 친근감     도 허리 숙여 인사,Politics
194,윤 한  갈등 봉합 수순에  갈등 촉발자  김경율 사퇴하나,Politics
195,     어깨 두드리고 열차  동반 탑승 ,Politics
196,추미애    키운 임종석 노영민 출마 안 돼 ,Politics
197,김건희 명품백은  대통령선물  아닌데 왜 돌려주지 않을까,Politics
198,     한동훈 브로맨스 화해쇼      저급한 인식 ,Politics
199,백종원에 여 야 모두  정계 진출  러브콜,Politics
200,깍듯이   도 인사한    어깨 툭 치며 악수한  ,Politics
201,당 장악력 커진  ,Politics
202,민주당  정권심판론 명분 사라질 수도  우려,Politics
203,   자리 있습니까  묻자   대통령  어  같이 올라가자 ,Politics
204,  특검법  갈등 불씨    일부  특검 받아 리스크 털자 ,Politics
205,국민의힘  이재명 정청래 저격수 투입 길 열어 놨다,Politics
206,속도 못 내는 제 지대 빅텐트 만들기   기호  번  난망,Politics
207, 발달장애아 왜 낳았노  말한 부산 북구청장 사과했지만 ,Politics
208,이철규  한동훈 사퇴설에  너무 나간 얘기 긍정적으로 잘 봉합될 것 ,Politics
209,  도 서천 갑니다  보고에   대통령  같이 가자 ,Politics
210,대통령실  봉합 시간걸려     숙제 못풀어    여사 공천 불씨 여전,Politics
211,벼랑 끝 여권 갈등  재난 앞에 멈췄다   주일간 무슨 일이,Politics
212,    도 인사     열차 같이 타고 가자    주로 민생 얘기 ,Politics
213,친윤  김경율 비대위원 사퇴해야      사퇴 생각 없다 ,Politics
214,한동훈   대통령에 깊은 존중 신뢰 있다   핵심 쟁점은 언급 안해,Politics
215,민주당  컷오프  대 범죄 에 음주 전과 이재명은 안 걸려,Politics
216,친명  이젠 친문 핵심 노려  지역구 표적 출마,Politics
217,열차 타고 마주앉은  시간  민생 얘기 길게 나눴다,Politics
218,윤석열 정권의 여당대표 잔혹사 왜 계속되나 ,Politics
219,김경율 사퇴  김건희 입장표명      갈등 출구전략 주목  정국 기상대 ,Politics
220,한동훈  열차 자리 있습니까  윤석열  어  같이 올라가자 ,Politics
221,한동훈 화법   이재명 민주당     회   윤석열 김건희   회,Politics
222, 사퇴  논란 이틀 만 조우 윤석열 한동훈 일단은 화해 선택 ,Politics
223,공천 의식  윤 대통령  홍위병     초선  침묵 ,Politics
224,민주당   윤 한 갈등  반사이익 찾다가 우왕좌왕 공세,Politics
225,윤 한 충돌 이틀만에  봉합열차 ,Politics
226, 총선 앞 분열은 공멸  이심전심      갈등 봉합 수순,Politics
227,친명  비명 지역구 잇단 출사표   집안싸움 위험 수위,Politics
228,이재명에 복당 권유 받은 이언주  진지하게 고민 중 ,Politics
229,김근식    약속 대련  주장은 정치적 의도   김경율 마포을 출마  선당후사  논란 이어지면 불출마하면 돼 ,Politics
230, 투나잇이슈  윤 대통령 한동훈  서천 화재현장 동행 야  정치쇼에 활용 ,Politics
231, 나이트포커스   윤 한 갈등  봉합 수순,Politics
232,화재현장 달려간      직접대화로 갈등  조기 진화  공감대 종합 ,Politics
233, 백브  핑   결혼 안 한 이준석  세상 물정 몰라  무임승차 폐지에 발끈한 노인회장  이런 게 꼰대 ,Politics
234,김경율 원희룡 전략공천 길 열려    경쟁력 낮거나  연패한 지역에 가능 ,Politics
235,  공관위  세번 연속 진 곳 전략공천   마포을도 해당,Politics
236,해운대갑 사상 중영도  전략공천  가능성 치열해진 경쟁 최대 변수 급부상,Politics
237,   경선없는 공천   곳   가능토록 해  예외없는 상향식  혁신안과 멀어져,Politics
238,국민의힘  단수 전략공천 기준 공개  시스템 공천  강조,Politics
239,김여사 디올백 발언 후 국힘 탈당 이언주  민주당 재입당할 듯,Politics
240, 김건희 사과 사천 논란  갈등 털어낸  윤 한 동행  시간  분 ,Politics
241, 김건희 리스크 사천 논란    갈등 뇌관은 그대로,Politics
242, 국힘 탈당  이언주 전 의원  돌고돌아 민주당 재입당할 듯,Politics
243,국민의힘  서울 마포을 등  연패 지역구 전략공천한다,Politics
244,김경율 거론된 마포을 등     회 연속 패배 지역에 전략공천,Politics
245,    당 총선  회 연속 패배  험지 출마자 우선추천 종합 ,Politics
246,   후보 경쟁력 낮거나 총선  연패한 곳  전략공천 가능 ,Politics
247, 정면승부  정성호  대통령 무시하고  한동훈  독자 공천하기 어려울 것 ,Politics
248,    회연속 패배지역 전략공천   이재명 정청래 지역도 해당,Politics
249,국힘  서울 마포을 인천 계양을  전략공천  가능성 높아져,Politics
250, 단독  김건희  최근  당이 사과 결정하면 따를 것  의사전달    공세  우려에 결론 못내,Politics
251,친윤계 이철규    사퇴요구는 너무 나간 얘기  김경율  해명글 올렸다 삭제,Politics
